EnsembleID	Symbol	n(Celltypes)	Name
ENSG00000174444	RPL4	3360	ribosomal protein L4
ENSG00000145425	RPS3A	3360	ribosomal protein S3A
ENSG00000135486	HNRNPA1	3359	heterogeneous nuclear ribonucleoprotein A1
ENSG00000034510	TMSB10	3358	thymosin beta 10
ENSG00000169567	HINT1	3357	histidine triad nucleotide binding protein 1
ENSG00000122566	HNRNPA2B1	3357	heterogeneous nuclear ribonucleoprotein A2/B1
ENSG00000198918	RPL39	3356	ribosomal protein L39
ENSG00000116251	RPL22	3356	ribosomal protein L22
ENSG00000232112	TMA7	3355	translation machinery associated 7 homolog
ENSG00000123349	PFDN5	3351	prefoldin subunit 5
ENSG00000080824	HSP90AA1	3347	heat shock protein 90 alpha family class A member 1
ENSG00000147403	RPL10	3346	ribosomal protein L10
ENSG00000189403	HMGB1	3345	high mobility group box 1
ENSG00000161970	RPL26	3343	ribosomal protein L26
ENSG00000164919	COX6C	3343	cytochrome c oxidase subunit 6C
ENSG00000166710	B2M	3342	beta-2-microglobulin
ENSG00000140988	RPS2	3340	ribosomal protein S2
ENSG00000167658	EEF2	3339	eukaryotic translation elongation factor 2
ENSG00000113558	SKP1	3337	S-phase kinase associated protein 1
ENSG00000106153	CHCHD2	3332	coiled-coil-helix-coiled-coil-helix domain containing 2
ENSG00000165502	RPL36AL	3331	ribosomal protein L36a like
ENSG00000105372	RPS19	3331	ribosomal protein S19
ENSG00000150991	UBC	3328	ubiquitin C
ENSG00000189043	NDUFA4	3327	NDUFA4 mitochondrial complex associated
ENSG00000228474	OST4	3327	oligosaccharyltransferase complex subunit 4, non-catalytic
ENSG00000126267	COX6B1	3326	cytochrome c oxidase subunit 6B1
ENSG00000156467	UQCRB	3325	ubiquinol-cytochrome c reductase binding protein
ENSG00000109971	HSPA8	3324	heat shock protein family A (Hsp70) member 8
ENSG00000198668	CALM1	3322	calmodulin 1
ENSG00000124172	ATP5F1E	3319	ATP synthase F1 subunit epsilon
ENSG00000165119	HNRNPK	3317	heterogeneous nuclear ribonucleoprotein K
ENSG00000204628	RACK1	3316	receptor for activated C kinase 1
ENSG00000170889	RPS9	3314	ribosomal protein S9
ENSG00000143933	CALM2	3313	calmodulin 2
ENSG00000084207	GSTP1	3312	glutathione S-transferase pi 1
ENSG00000196683	TOMM7	3311	translocase of outer mitochondrial membrane 7
ENSG00000123416	TUBA1B	3310	tubulin alpha 1b
ENSG00000112695	COX7A2	3310	cytochrome c oxidase subunit 7A2
ENSG00000198258	UBL5	3308	ubiquitin like 5
ENSG00000111229	ARPC3	3308	actin related protein 2/3 complex subunit 3
ENSG00000104529	EEF1D	3308	eukaryotic translation elongation factor 1 delta
ENSG00000104904	OAZ1	3308	ornithine decarboxylase antizyme 1
ENSG00000113387	SUB1	3307	SUB1 regulator of transcription
ENSG00000118680	MYL12B	3305	myosin light chain 12B
ENSG00000101608	MYL12A	3304	myosin light chain 12A
ENSG00000125743	SNRPD2	3304	small nuclear ribonucleoprotein D2 polypeptide
ENSG00000173660	UQCRH	3304	ubiquinol-cytochrome c reductase hinge protein
ENSG00000136810	TXN	3300	thioredoxin
ENSG00000065978	YBX1	3299	Y-box binding protein 1
ENSG00000148303	RPL7A	3298	ribosomal protein L7a
ENSG00000139644	TMBIM6	3297	transmembrane BAX inhibitor motif containing 6
ENSG00000125356	NDUFA1	3296	NADH:ubiquinone oxidoreductase subunit A1
ENSG00000163466	ARPC2	3293	actin related protein 2/3 complex subunit 2
ENSG00000167283	ATP5MG	3293	ATP synthase membrane subunit g
ENSG00000067560	RHOA	3293	ras homolog family member A
ENSG00000074800	ENO1	3290	enolase 1
ENSG00000152795	HNRNPDL	3289	heterogeneous nuclear ribonucleoprotein D like
ENSG00000005022	SLC25A5	3288	solute carrier family 25 member 5
ENSG00000114942	EEF1B2	3287	eukaryotic translation elongation factor 1 beta 2
ENSG00000136156	ITM2B	3287	integral membrane protein 2B
ENSG00000188243	COMMD6	3285	COMM domain containing 6
ENSG00000092199	HNRNPC	3284	heterogeneous nuclear ribonucleoprotein C
ENSG00000187109	NAP1L1	3283	nucleosome assembly protein 1 like 1
ENSG00000164405	UQCRQ	3282	ubiquinol-cytochrome c reductase complex III subunit VII
ENSG00000188612	SUMO2	3282	small ubiquitin like modifier 2
ENSG00000185787	MORF4L1	3279	mortality factor 4 like 1
ENSG00000107223	EDF1	3279	endothelial differentiation related factor 1
ENSG00000075415	SLC25A3	3278	solute carrier family 25 member 3
ENSG00000168653	NDUFS5	3277	NADH:ubiquinone oxidoreductase subunit S5
ENSG00000101182	PSMA7	3277	proteasome 20S subunit alpha 7
ENSG00000112081	SRSF3	3277	serine and arginine rich splicing factor 3
ENSG00000166598	HSP90B1	3276	heat shock protein 90 beta family member 1
ENSG00000156976	EIF4A2	3274	eukaryotic translation initiation factor 4A2
ENSG00000134825	TMEM258	3274	transmembrane protein 258
ENSG00000135390	ATP5MC2	3273	ATP synthase membrane subunit c locus 2
ENSG00000184009	ACTG1	3272	actin gamma 1
ENSG00000205581	HMGN1	3271	high mobility group nucleosome binding domain 1
ENSG00000166794	PPIB	3271	peptidylprolyl isomerase B
ENSG00000108654	DDX5	3270	DEAD-box helicase 5
ENSG00000132341	RAN	3269	RAN, member RAS oncogene family
ENSG00000088986	DYNLL1	3269	dynein light chain LC8-type 1
ENSG00000136888	ATP6V1G1	3269	ATPase H+ transporting V1 subunit G1
ENSG00000135940	COX5B	3267	cytochrome c oxidase subunit 5B
ENSG00000231500	RPS18	3266	ribosomal protein S18
ENSG00000142168	SOD1	3266	superoxide dismutase 1
ENSG00000164924	YWHAZ	3264	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta
ENSG00000118181	RPS25	3262	ribosomal protein S25
ENSG00000177700	POLR2L	3261	RNA polymerase II, I and III subunit L
ENSG00000106803	SEC61B	3261	SEC61 translocon subunit beta
ENSG00000118816	CCNI	3260	cyclin I
ENSG00000197111	PCBP2	3259	poly(rC) binding protein 2
ENSG00000104408	EIF3E	3259	eukaryotic translation initiation factor 3 subunit E
ENSG00000159140	SON	3258	SON DNA and RNA binding protein
ENSG00000087460	GNAS	3257	GNAS complex locus
ENSG00000110321	EIF4G2	3256	eukaryotic translation initiation factor 4 gamma 2
ENSG00000142669	SH3BGRL3	3254	SH3 domain binding glutamate rich protein like 3
ENSG00000167468	GPX4	3254	glutathione peroxidase 4
ENSG00000179218	CALR	3253	calreticulin
ENSG00000115053	NCL	3252	nucleolin
ENSG00000166913	YWHAB	3251	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta
ENSG00000132475	H3-3B	3251	H3.3 histone B
ENSG00000106211	HSPB1	3250	heat shock protein family B (small) member 1
ENSG00000026025	VIM	3249	vimentin
ENSG00000109332	UBE2D3	3249	ubiquitin conjugating enzyme E2 D3
ENSG00000197956	S100A6	3249	S100 calcium binding protein A6
ENSG00000178982	EIF3K	3248	eukaryotic translation initiation factor 3 subunit K
ENSG00000170345	FOS	3247	Fos proto-oncogene, AP-1 transcription factor subunit
ENSG00000132432	SEC61G	3246	SEC61 translocon subunit gamma
ENSG00000115541	HSPE1	3246	heat shock protein family E (Hsp10) member 1
ENSG00000169714	CNBP	3246	CCHC-type zinc finger nucleic acid binding protein
ENSG00000124614	RPS10	3245	ribosomal protein S10
ENSG00000184076	UQCR10	3244	ubiquinol-cytochrome c reductase, complex III subunit X
ENSG00000158710	TAGLN2	3243	transgelin 2
ENSG00000111669	TPI1	3243	triosephosphate isomerase 1
ENSG00000130066	SAT1	3243	spermidine/spermine N1-acetyltransferase 1
ENSG00000111775	COX6A1	3242	cytochrome c oxidase subunit 6A1
ENSG00000176340	COX8A	3241	cytochrome c oxidase subunit 8A
ENSG00000116288	PARK7	3239	Parkinsonism associated deglycase
ENSG00000135404	CD63	3238	CD63 molecule
ENSG00000111716	LDHB	3237	lactate dehydrogenase B
ENSG00000144381	HSPD1	3236	heat shock protein family D (Hsp60) member 1
ENSG00000110958	PTGES3	3236	prostaglandin E synthase 3
ENSG00000132963	POMP	3236	proteasome maturation protein
ENSG00000169020	ATP5ME	3236	ATP synthase membrane subunit e
ENSG00000070831	CDC42	3236	cell division cycle 42
ENSG00000120742	SERP1	3235	stress associated endoplasmic reticulum protein 1
ENSG00000197746	PSAP	3235	prosaposin
ENSG00000117450	PRDX1	3234	peroxiredoxin 1
ENSG00000086061	DNAJA1	3234	DnaJ heat shock protein family (Hsp40) member A1
ENSG00000131051	RBM39	3232	RNA binding motif protein 39
ENSG00000103363	ELOB	3232	elongin B
ENSG00000008952	SEC62	3232	SEC62 homolog, preprotein translocation factor
ENSG00000090266	NDUFB2	3231	NADH:ubiquinone oxidoreductase subunit B2
ENSG00000167004	PDIA3	3231	protein disulfide isomerase family A member 3
ENSG00000125534	PPDPF	3230	pancreatic progenitor cell differentiation and proliferation factor
ENSG00000099622	CIRBP	3230	cold inducible RNA binding protein
ENSG00000241343	RPL36A	3228	ribosomal protein L36a
ENSG00000067225	PKM	3228	pyruvate kinase M1/2
ENSG00000171223	JUNB	3226	JunB proto-oncogene, AP-1 transcription factor subunit
ENSG00000113732	ATP6V0E1	3225	ATPase H+ transporting V0 subunit e1
ENSG00000198830	HMGN2	3224	high mobility group nucleosomal binding domain 2
ENSG00000089220	PEBP1	3222	phosphatidylethanolamine binding protein 1
ENSG00000171530	TBCA	3221	tubulin folding cofactor A
ENSG00000133639	BTG1	3221	BTG anti-proliferation factor 1
ENSG00000044574	HSPA5	3220	heat shock protein family A (Hsp70) member 5
ENSG00000143761	ARF1	3220	ARF GTPase 1
ENSG00000147677	EIF3H	3219	eukaryotic translation initiation factor 3 subunit H
ENSG00000150459	SAP18	3217	Sin3A associated protein 18
ENSG00000163479	SSR2	3217	signal sequence receptor subunit 2
ENSG00000065518	NDUFB4	3216	NADH:ubiquinone oxidoreductase subunit B4
ENSG00000100380	ST13	3214	ST13 Hsp70 interacting protein
ENSG00000134333	LDHA	3214	lactate dehydrogenase A
ENSG00000173113	TRMT112	3213	tRNA methyltransferase activator subunit 11-2
ENSG00000154518	ATP5MC3	3213	ATP synthase membrane subunit c locus 3
ENSG00000254999	BRK1	3212	BRICK1 subunit of SCAR/WAVE actin nucleating complex
ENSG00000100906	NFKBIA	3207	NFKB inhibitor alpha
ENSG00000008018	PSMB1	3207	proteasome 20S subunit beta 1
ENSG00000154723	ATP5PF	3206	ATP synthase peripheral stalk subunit F6
ENSG00000142864	SERBP1	3205	SERPINE1 mRNA binding protein 1
ENSG00000067082	KLF6	3205	KLF transcription factor 6
ENSG00000155368	DBI	3204	diazepam binding inhibitor, acyl-CoA binding protein
ENSG00000115875	SRSF7	3204	serine and arginine rich splicing factor 7
ENSG00000177606	JUN	3203	Jun proto-oncogene, AP-1 transcription factor subunit
ENSG00000255302	EID1	3203	EP300 interacting inhibitor of differentiation 1
ENSG00000240972	MIF	3202	macrophage migration inhibitory factor
ENSG00000126432	PRDX5	3201	peroxiredoxin 5
ENSG00000143977	SNRPG	3200	small nuclear ribonucleoprotein polypeptide G
ENSG00000174021	GNG5	3199	G protein subunit gamma 5
ENSG00000170144	HNRNPA3	3198	heterogeneous nuclear ribonucleoprotein A3
ENSG00000178741	COX5A	3197	cytochrome c oxidase subunit 5A
ENSG00000183648	NDUFB1	3194	NADH:ubiquinone oxidoreductase subunit B1
ENSG00000164032	H2AZ1	3193	H2A.Z variant histone 1
ENSG00000180879	SSR4	3193	signal sequence receptor subunit 4
ENSG00000175390	EIF3F	3192	eukaryotic translation initiation factor 3 subunit F
ENSG00000100650	SRSF5	3191	serine and arginine rich splicing factor 5
ENSG00000156411	ATP5MJ	3190	ATP synthase membrane subunit j
ENSG00000169564	PCBP1	3189	poly(rC) binding protein 1
ENSG00000173915	ATP5MK	3189	ATP synthase membrane subunit k
ENSG00000143549	TPM3	3189	tropomyosin 3
ENSG00000128016	ZFP36	3188	ZFP36 ring finger protein
ENSG00000100387	RBX1	3187	ring-box 1
ENSG00000131174	COX7B	3187	cytochrome c oxidase subunit 7B
ENSG00000136938	ANP32B	3187	acidic nuclear phosphoprotein 32 family member B
ENSG00000116209	TMEM59	3185	transmembrane protein 59
ENSG00000116754	SRSF11	3184	serine and arginine rich splicing factor 11
ENSG00000120129	DUSP1	3182	dual specificity phosphatase 1
ENSG00000153187	HNRNPU	3181	heterogeneous nuclear ribonucleoprotein U
ENSG00000009307	CSDE1	3180	cold shock domain containing E1
ENSG00000129562	DAD1	3180	defender against cell death 1
ENSG00000100664	EIF5	3180	eukaryotic translation initiation factor 5
ENSG00000110955	ATP5F1B	3180	ATP synthase F1 subunit beta
ENSG00000166295	ANAPC16	3178	anaphase promoting complex subunit 16
ENSG00000125995	ROMO1	3178	reactive oxygen species modulator 1
ENSG00000102144	PGK1	3178	phosphoglycerate kinase 1
ENSG00000161547	SRSF2	3177	serine and arginine rich splicing factor 2
ENSG00000172115	CYCS	3177	cytochrome c, somatic
ENSG00000069275	NUCKS1	3175	nuclear casein kinase and cyclin dependent kinase substrate 1
ENSG00000109046	WSB1	3175	WD repeat and SOCS box containing 1
ENSG00000114902	SPCS1	3173	signal peptidase complex subunit 1
ENSG00000110696	C11orf58	3172	chromosome 11 open reading frame 58
ENSG00000127540	UQCR11	3171	ubiquinol-cytochrome c reductase, complex III subunit XI
ENSG00000087074	PPP1R15A	3171	protein phosphatase 1 regulatory subunit 15A
ENSG00000089280	FUS	3169	FUS RNA binding protein
ENSG00000118418	HMGN3	3169	high mobility group nucleosomal binding domain 3
ENSG00000162704	ARPC5	3168	actin related protein 2/3 complex subunit 5
ENSG00000135535	CD164	3168	CD164 molecule
ENSG00000100632	ERH	3167	ERH mRNA splicing and mitosis factor
ENSG00000177733	HNRNPA0	3166	heterogeneous nuclear ribonucleoprotein A0
ENSG00000112335	SNX3	3166	sorting nexin 3
ENSG00000147123	NDUFB11	3166	NADH:ubiquinone oxidoreductase subunit B11
ENSG00000105669	COPE	3166	COPI coat complex subunit epsilon
ENSG00000164096	C4orf3	3165	chromosome 4 open reading frame 3
ENSG00000089248	ERP29	3164	endoplasmic reticulum protein 29
ENSG00000133872	SARAF	3164	store-operated calcium entry associated regulatory factor
ENSG00000143774	GUK1	3164	guanylate kinase 1
ENSG00000185088	RPS27L	3163	ribosomal protein S27 like
ENSG00000108953	YWHAE	3163	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon
ENSG00000117592	PRDX6	3162	peroxiredoxin 6
ENSG00000115310	RTN4	3161	reticulon 4
ENSG00000183283	DAZAP2	3160	DAZ associated protein 2
ENSG00000143742	SRP9	3160	signal recognition particle 9
ENSG00000019582	CD74	3159	CD74 molecule
ENSG00000160213	CSTB	3159	cystatin B
ENSG00000125868	DSTN	3159	destrin, actin depolymerizing factor
ENSG00000196230	TUBB	3159	tubulin beta class I
ENSG00000092010	PSME1	3159	proteasome activator subunit 1
ENSG00000147684	NDUFB9	3158	NADH:ubiquinone oxidoreductase subunit B9
ENSG00000152518	ZFP36L2	3155	ZFP36 ring finger protein like 2
ENSG00000146278	PNRC1	3154	proline rich nuclear receptor coactivator 1
ENSG00000241468	ATP5MF	3153	ATP synthase membrane subunit f
ENSG00000185650	ZFP36L1	3152	ZFP36 ring finger protein like 1
ENSG00000116560	SFPQ	3151	splicing factor proline and glutamine rich
ENSG00000100201	DDX17	3150	DEAD-box helicase 17
ENSG00000127922	SEM1	3149	SEM1 26S proteasome subunit
ENSG00000160888	IER2	3149	immediate early response 2
ENSG00000152234	ATP5F1A	3149	ATP synthase F1 subunit alpha
ENSG00000119335	SET	3148	SET nuclear proto-oncogene
ENSG00000100097	LGALS1	3147	galectin 1
ENSG00000163191	S100A11	3147	S100 calcium binding protein A11
ENSG00000147274	RBMX	3146	RNA binding motif protein X-linked
ENSG00000167460	TPM4	3145	tropomyosin 4
ENSG00000149100	EIF3M	3145	eukaryotic translation initiation factor 3 subunit M
ENSG00000182117	NOP10	3145	NOP10 ribonucleoprotein
ENSG00000101558	VAPA	3142	VAMP associated protein A
ENSG00000134308	YWHAQ	3142	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta
ENSG00000132002	DNAJB1	3142	DnaJ heat shock protein family (Hsp40) member B1
ENSG00000102317	RBM3	3139	RNA binding motif protein 3
ENSG00000104979	C19orf53	3139	chromosome 19 open reading frame 53
ENSG00000136527	TRA2B	3139	transformer 2 beta homolog
ENSG00000169976	SF3B5	3138	splicing factor 3b subunit 5
ENSG00000100138	SNU13	3138	small nuclear ribonucleoprotein 13
ENSG00000126756	UXT	3138	ubiquitously expressed prefoldin like chaperone
ENSG00000132424	PNISR	3138	PNN interacting serine and arginine rich protein
ENSG00000077549	CAPZB	3137	capping actin protein of muscle Z-line subunit beta
ENSG00000140612	SEC11A	3136	SEC11 homolog A, signal peptidase complex subunit
ENSG00000115091	ACTR3	3135	actin related protein 3
ENSG00000197747	S100A10	3135	S100 calcium binding protein A10
ENSG00000198931	APRT	3134	adenine phosphoribosyltransferase
ENSG00000169813	HNRNPF	3134	heterogeneous nuclear ribonucleoprotein F
ENSG00000125835	SNRPB	3134	small nuclear ribonucleoprotein polypeptides B and B1
ENSG00000068697	LAPTM4A	3133	lysosomal protein transmembrane 4 alpha
ENSG00000122705	CLTA	3133	clathrin light chain A
ENSG00000198856	OSTC	3132	oligosaccharyltransferase complex non-catalytic subunit
ENSG00000057608	GDI2	3131	GDP dissociation inhibitor 2
ENSG00000143384	MCL1	3131	MCL1 apoptosis regulator, BCL2 family member
ENSG00000115524	SF3B1	3131	splicing factor 3b subunit 1
ENSG00000118363	SPCS2	3131	signal peptidase complex subunit 2
ENSG00000117632	STMN1	3130	stathmin 1
ENSG00000147649	MTDH	3130	metadherin
ENSG00000141552	ANAPC11	3130	anaphase promoting complex subunit 11
ENSG00000169045	HNRNPH1	3129	heterogeneous nuclear ribonucleoprotein H1
ENSG00000131171	SH3BGRL	3129	SH3 domain binding glutamate rich protein like
ENSG00000165637	VDAC2	3128	voltage dependent anion channel 2
ENSG00000128272	ATF4	3128	activating transcription factor 4
ENSG00000034713	GABARAPL2	3128	GABA type A receptor associated protein like 2
ENSG00000213719	CLIC1	3127	chloride intracellular channel 1
ENSG00000182004	SNRPE	3127	small nuclear ribonucleoprotein polypeptide E
ENSG00000163660	CCNL1	3127	cyclin L1
ENSG00000122565	CBX3	3126	chromobox 3
ENSG00000117410	ATP6V0B	3126	ATPase H+ transporting V0 subunit b
ENSG00000131236	CAP1	3126	cyclase associated actin cytoskeleton regulatory protein 1
ENSG00000172270	BSG	3126	basigin (Ok blood group)
ENSG00000051523	CYBA	3125	cytochrome b-245 alpha chain
ENSG00000185624	P4HB	3125	prolyl 4-hydroxylase subunit beta
ENSG00000041357	PSMA4	3124	proteasome 20S subunit alpha 4
ENSG00000126777	KTN1	3124	kinectin 1
ENSG00000167552	TUBA1A	3124	tubulin alpha 1a
ENSG00000188186	LAMTOR4	3124	late endosomal/lysosomal adaptor, MAPK and MTOR activator 4
ENSG00000188229	TUBB4B	3123	tubulin beta 4B class IVb
ENSG00000127022	CANX	3123	calnexin
ENSG00000079246	XRCC5	3123	X-ray repair cross complementing 5
ENSG00000136238	RAC1	3122	Rac family small GTPase 1
ENSG00000134248	LAMTOR5	3121	late endosomal/lysosomal adaptor, MAPK and MTOR activator 5
ENSG00000143870	PDIA6	3120	protein disulfide isomerase family A member 6
ENSG00000165629	ATP5F1C	3120	ATP synthase F1 subunit gamma
ENSG00000161011	SQSTM1	3119	sequestosome 1
ENSG00000132507	EIF5A	3119	eukaryotic translation initiation factor 5A
ENSG00000099795	NDUFB7	3119	NADH:ubiquinone oxidoreductase subunit B7
ENSG00000142507	PSMB6	3119	proteasome 20S subunit beta 6
ENSG00000163041	H3-3A	3119	H3.3 histone A
ENSG00000128524	ATP6V1F	3118	ATPase H+ transporting V1 subunit F
ENSG00000170515	PA2G4	3117	proliferation-associated 2G4
ENSG00000177156	TALDO1	3117	transaldolase 1
ENSG00000196419	XRCC6	3117	X-ray repair cross complementing 6
ENSG00000120727	PAIP2	3115	poly(A) binding protein interacting protein 2
ENSG00000138495	COX17	3115	cytochrome c oxidase copper chaperone COX17
ENSG00000120533	ENY2	3115	ENY2 transcription and export complex 2 subunit
ENSG00000112514	CUTA	3115	cutA divalent cation tolerance homolog
ENSG00000101439	CST3	3115	cystatin C
ENSG00000175334	BANF1	3114	barrier to autointegration nuclear assembly factor 1
ENSG00000131508	UBE2D2	3113	ubiquitin conjugating enzyme E2 D2
ENSG00000130332	LSM7	3113	LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated
ENSG00000125977	EIF2S2	3112	eukaryotic translation initiation factor 2 subunit beta
ENSG00000115944	COX7A2L	3111	cytochrome c oxidase subunit 7A2 like
ENSG00000138668	HNRNPD	3111	heterogeneous nuclear ribonucleoprotein D
ENSG00000230989	HSBP1	3110	heat shock factor binding protein 1
ENSG00000108848	LUC7L3	3110	LUC7 like 3 pre-mRNA splicing factor
ENSG00000115128	SF3B6	3110	splicing factor 3b subunit 6
ENSG00000139343	SNRPF	3109	small nuclear ribonucleoprotein polypeptide F
ENSG00000173726	TOMM20	3109	translocase of outer mitochondrial membrane 20
ENSG00000131495	NDUFA2	3108	NADH:ubiquinone oxidoreductase subunit A2
ENSG00000088832	FKBP1A	3108	FKBP prolyl isomerase 1A
ENSG00000168209	DDIT4	3108	DNA damage inducible transcript 4
ENSG00000130811	EIF3G	3107	eukaryotic translation initiation factor 3 subunit G
ENSG00000157514	TSC22D3	3106	TSC22 domain family member 3
ENSG00000063046	EIF4B	3106	eukaryotic translation initiation factor 4B
ENSG00000160014	CALM3	3106	calmodulin 3
ENSG00000145494	NDUFS6	3105	NADH:ubiquinone oxidoreductase subunit S6
ENSG00000206503	HLA-A	3105	major histocompatibility complex, class I, A
ENSG00000115738	ID2	3105	inhibitor of DNA binding 2
ENSG00000163584	RPL22L1	3104	ribosomal protein L22 like 1
ENSG00000114784	EIF1B	3104	eukaryotic translation initiation factor 1B
ENSG00000116030	SUMO1	3104	small ubiquitin like modifier 1
ENSG00000125870	SNRPB2	3103	small nuclear ribonucleoprotein polypeptide B2
ENSG00000185201	IFITM2	3103	interferon induced transmembrane protein 2
ENSG00000182774	RPS17	3101	ribosomal protein S17
ENSG00000119705	SLIRP	3101	SRA stem-loop interacting RNA binding protein
ENSG00000119655	NPC2	3101	NPC intracellular cholesterol transporter 2
ENSG00000158417	EIF5B	3101	eukaryotic translation initiation factor 5B
ENSG00000156261	CCT8	3100	chaperonin containing TCP1 subunit 8
ENSG00000106028	SSBP1	3100	single stranded DNA binding protein 1
ENSG00000099341	PSMD8	3100	proteasome 26S subunit, non-ATPase 8
ENSG00000013441	CLK1	3099	CDC like kinase 1
