Gene1	Gene2	Protein1	Protein2
ABCG5	ABCG8	ATP-binding cassette sub-family G member 5 (EC 7.6.2.-) (Sterolin-1)	ATP-binding cassette sub-family G member 8 (EC 7.6.2.-) (Sterolin-2)
ABHD17B	POC1B	Alpha/beta hydrolase domain-containing protein 17B (Abhydrolase domain-containing protein 17B) (EC 3.1.2.22)	POC1 centriolar protein homolog B (Pix1) (Proteome of centriole protein 1B) (WD repeat-containing protein 51B)
ABRACL	DGUOK	Costars family protein ABRACL (ABRA C-terminal-like protein)	Deoxyguanosine kinase, mitochondrial (EC 2.7.1.113) (Deoxyadenosine kinase, mitochondrial) (EC 2.7.1.76)
ABT1	RPIA	Activator of basal transcription 1 (hABT1) (Basal transcriptional activator)	Ribose-5-phosphate isomerase (EC 5.3.1.6) (Phosphoriboisomerase)
ACACA	VPS13A	Acetyl-CoA carboxylase 1 (ACC1) (EC 6.4.1.2) (Acetyl-Coenzyme A carboxylase alpha) (ACC-alpha)	Intermembrane lipid transfer protein VPS13A (Chorea-acanthocytosis protein) (Chorein) (Vacuolar protein sorting-associated protein 13A)
ACADVL	CDC37	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial (VLCAD) (EC 1.3.8.9)	Hsp90 co-chaperone Cdc37 (Hsp90 chaperone protein kinase-targeting subunit) (p50Cdc37) [Cleaved into: Hsp90 co-chaperone Cdc37, N-terminally processed]
ACAT1	ACAT1	Acetyl-CoA acetyltransferase, mitochondrial (EC 2.3.1.9) (Acetoacetyl-CoA thiolase) (T2)	Acetyl-CoA acetyltransferase, mitochondrial (EC 2.3.1.9) (Acetoacetyl-CoA thiolase) (T2)
ACBD3	KCMF1	Golgi resident protein GCP60 (Acyl-CoA-binding domain-containing protein 3) (Golgi complex-associated protein 1) (GOCAP1) (Golgi phosphoprotein 1) (GOLPH1) (PBR- and PKA-associated protein 7) (Peripheral benzodiazepine receptor-associated protein PAP7) [Cleaved into: Golgi resident protein GCP60, N-terminally processed]	E3 ubiquitin-protein ligase KCMF1 (EC 2.3.2.27) (FGF-induced in gastric cancer) (Potassium channel modulatory factor) (PCMF) (ZZ-type zinc finger-containing protein 1)
ACE2	SLC6A19	Angiotensin-converting enzyme 2 (EC 3.4.17.23) (Angiotensin-converting enzyme homolog) (ACEH) (Angiotensin-converting enzyme-related carboxypeptidase) (ACE-related carboxypeptidase) (EC 3.4.17.-) (Metalloprotease MPROT15) [Cleaved into: Processed angiotensin-converting enzyme 2]	Sodium-dependent neutral amino acid transporter B(0)AT1 (Solute carrier family 6 member 19) (System B(0) neutral amino acid transporter AT1)
ACKR1	PLVAP	Atypical chemokine receptor 1 (Duffy antigen receptor for chemokines) (Duffy antigen/chemokine receptor) (Duffy blood group antigen) (Fy glycoprotein) (GpFy) (Glycoprotein D) (Plasmodium vivax receptor) (CD antigen CD234)	Plasmalemma vesicle-associated protein (Fenestrated endothelial-linked structure protein) (Plasmalemma vesicle protein 1) (PV-1)
ACOT1	ACOT2	Acyl-coenzyme A thioesterase 1 (Acyl-CoA thioesterase 1) (EC 3.1.2.-) (CTE-I) (CTE-Ib) (Inducible cytosolic acyl-coenzyme A thioester hydrolase) (Long chain acyl-CoA thioester hydrolase) (Long chain acyl-CoA hydrolase) (Palmitoyl-coenzyme A thioesterase) (EC 3.1.2.2)	Acyl-coenzyme A thioesterase 2, mitochondrial (Acyl-CoA thioesterase 2) (EC 3.1.2.2) (Acyl-coenzyme A thioester hydrolase 2a) (CTE-Ia) (Long-chain acyl-CoA thioesterase 2) (ZAP128)
ACOT6	ZNF223	Acyl-coenzyme A thioesterase 6 (Acyl-CoA thioesterase 6) (EC 3.1.2.-)	Zinc finger protein 223
ACOT7	RMDN3	Cytosolic acyl coenzyme A thioester hydrolase (EC 3.1.2.2) (Acyl-CoA thioesterase 7) (Brain acyl-CoA hydrolase) (BACH) (hBACH) (CTE-IIa) (CTE-II) (Long chain acyl-CoA thioester hydrolase)	Regulator of microtubule dynamics protein 3 (RMD-3) (hRMD-3) (Cerebral protein 10) (Protein FAM82A2) (Protein FAM82C) (Protein tyrosine phosphatase-interacting protein 51) (TCPTP-interacting protein 51)
ACSL3	UGP2	Fatty acid CoA ligase Acsl3 (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 3) (LACS 3) (Long-chain-fatty-acid--CoA ligase 3) (EC 6.2.1.3) (Medium-chain acyl-CoA ligase Acsl3) (EC 6.2.1.2)	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9) (UDP-glucose pyrophosphorylase) (UDPGP) (UGPase)
ACSM2A	ACSM2B	Acyl-coenzyme A synthetase ACSM2A, mitochondrial (EC 6.2.1.2) (Acyl-CoA synthetase medium-chain family member 2A) (Benzoate--CoA ligase) (EC 6.2.1.25) (Butyrate--CoA ligase 2A) (Butyryl-coenzyme A synthetase 2A) (Middle-chain acyl-CoA synthetase 2A)	Acyl-coenzyme A synthetase ACSM2B, mitochondrial (EC 6.2.1.2) (Acyl-CoA synthetase medium-chain family member 2B) (Benzoate--CoA ligase) (EC 6.2.1.25) (Butyrate--CoA ligase 2B) (Butyryl-coenzyme A synthetase 2B) (Middle-chain acyl-CoA synthetase 2B) (Xenobiotic/medium-chain fatty acid-CoA ligase HXM-A)
ACTA2	ACTG2	Actin, aortic smooth muscle (EC 3.6.4.-) (Alpha-actin-2) (Cell growth-inhibiting gene 46 protein) [Cleaved into: Actin, aortic smooth muscle, intermediate form]	Actin, gamma-enteric smooth muscle (EC 3.6.4.-) (Alpha-actin-3) (Gamma-2-actin) (Smooth muscle gamma-actin) [Cleaved into: Actin, gamma-enteric smooth muscle, intermediate form]
ACTL7A	CABS1	Actin-like protein 7A (Actin-like-7-alpha)	Calcium-binding and spermatid-specific protein 1 (Testis development protein NYD-SP26)
ACTL8	NANOGNB	Actin-like protein 8 (Cancer/testis antigen 57) (CT57)	NANOG neighbor homeobox (Homeobox protein C14)
ACTR1A	DCTN1	Alpha-centractin (Centractin) (ARP1) (Actin-RPV) (Centrosome-associated actin homolog)	Dynactin subunit 1 (150 kDa dynein-associated polypeptide) (DAP-150) (DP-150) (p135) (p150-glued)
ACTR2	ARPC2	Actin-related protein 2 (Actin-like protein 2)	Actin-related protein 2/3 complex subunit 2 (Arp2/3 complex 34 kDa subunit) (p34-ARC)
ACTR5	ACTR8	Actin-related protein 5 (hARP5) (Sarcoma antigen NY-SAR-16)	Actin-related protein 8 (hArp8) (INO80 complex subunit N)
ACVR1	ACVR1C	Activin receptor type-1 (EC 2.7.11.30) (Activin receptor type I) (ACTR-I) (Activin receptor-like kinase 2) (ALK-2) (Serine/threonine-protein kinase receptor R1) (SKR1) (TGF-B superfamily receptor type I) (TSR-I)	Activin receptor type-1C (EC 2.7.11.30) (Activin receptor type IC) (ACTR-IC) (Activin receptor-like kinase 7) (ALK-7)
ADAM10	TAOK1	Disintegrin and metalloproteinase domain-containing protein 10 (ADAM 10) (EC 3.4.24.81) (CDw156) (Kuzbanian protein homolog) (Mammalian disintegrin-metalloprotease) (CD antigen CD156c)	Serine/threonine-protein kinase TAO1 (EC 2.7.11.1) (Kinase from chicken homolog B) (hKFC-B) (MARK Kinase) (MARKK) (Prostate-derived sterile 20-like kinase 2) (PSK-2) (PSK2) (Prostate-derived STE20-like kinase 2) (Thousand and one amino acid protein kinase 1) (TAOK1) (hTAOK1)
ADAM23	ADAM23	Disintegrin and metalloproteinase domain-containing protein 23 (ADAM 23) (Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 3) (MDC-3)	Disintegrin and metalloproteinase domain-containing protein 23 (ADAM 23) (Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 3) (MDC-3)
ADAMTSL5	FAM83G	ADAMTS-like protein 5 (ADAMTSL-5) (Thrombospondin type-1 domain-containing protein 6)	Protein FAM83G (Protein associated with SMAD1)
ADARB1	UBE2O	Double-stranded RNA-specific editase 1 (EC 3.5.4.37) (RNA-editing deaminase 1) (RNA-editing enzyme 1) (dsRNA adenosine deaminase)	(E3-independent) E2 ubiquitin-conjugating enzyme (EC 2.3.2.24) (E2/E3 hybrid ubiquitin-protein ligase UBE2O) (Ubiquitin carrier protein O) (Ubiquitin-conjugating enzyme E2 O) (Ubiquitin-conjugating enzyme E2 of 230 kDa) (Ubiquitin-conjugating enzyme E2-230K) (Ubiquitin-protein ligase O)
ADCY6	RBPMS2	Adenylate cyclase type 6 (EC 4.6.1.1) (ATP pyrophosphate-lyase 6) (Adenylate cyclase type VI) (Adenylyl cyclase 6) (Ca(2+)-inhibitable adenylyl cyclase)	RNA-binding protein with multiple splicing 2 (RNA binding protein, mRNA processing factor 2)
ADD1	ADD2	Alpha-adducin (Erythrocyte adducin subunit alpha)	Beta-adducin (Erythrocyte adducin subunit beta)
ADGB	ARMC3	Androglobin	Armadillo repeat-containing protein 3 (Beta-catenin-like protein) (Cancer/testis antigen 81) (CT81) (KU-CT-1)
ADH4	ADH6	All-trans-retinol dehydrogenase [NAD(+)] ADH4 (EC 1.1.1.105) (Alcohol dehydrogenase 2) (Alcohol dehydrogenase 4) (Alcohol dehydrogenase class II pi chain)	Alcohol dehydrogenase 6 (EC 1.1.1.1)
ADIPOQ	PLIN1	Adiponectin (30 kDa adipocyte complement-related protein) (Adipocyte complement-related 30 kDa protein) (ACRP30) (Adipocyte, C1q and collagen domain-containing protein) (Adipose most abundant gene transcript 1 protein) (apM-1) (Gelatin-binding protein)	Perilipin-1 (Lipid droplet-associated protein)
ADM	ERRFI1	Pro-adrenomedullin [Cleaved into: Adrenomedullin (AM); Proadrenomedullin N-20 terminal peptide (ProAM N-terminal 20 peptide) (PAMP) (ProAM-N20)]	ERBB receptor feedback inhibitor 1 (Mitogen-inducible gene 6 protein) (MIG-6)
ADNP2	CDADC1	Activity-dependent neuroprotector homeobox protein 2 (ADNP homeobox protein 2) (Zinc finger protein 508)	Cytidine and dCMP deaminase domain-containing protein 1 (EC 3.5.4.5) (Cytidine deaminase) (Testis development protein NYD-SP15)
ADRA1A	ADRA1A	Alpha-1A adrenergic receptor (Alpha-1A adrenoreceptor) (Alpha-1A adrenoceptor) (Alpha-1C adrenergic receptor) (Alpha-adrenergic receptor 1c)	Alpha-1A adrenergic receptor (Alpha-1A adrenoreceptor) (Alpha-1A adrenoceptor) (Alpha-1C adrenergic receptor) (Alpha-adrenergic receptor 1c)
AEBP2	JARID2	Zinc finger protein AEBP2 (Adipocyte enhancer-binding protein 2) (AE-binding protein 2)	Protein Jumonji (Jumonji/ARID domain-containing protein 2)
AGAP4	AGAP6	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 4 (AGAP-4) (Centaurin-gamma-like family member 1) (Centaurin-gamma-like family member 5)	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 6 (AGAP-6) (Centaurin-gamma-like family member 3)
AGO1	AGO2	Protein argonaute-1 (Argonaute1) (hAgo1) (Argonaute RISC catalytic component 1) (Eukaryotic translation initiation factor 2C 1) (eIF-2C 1) (eIF2C 1) (Putative RNA-binding protein Q99)	Protein argonaute-2 (Argonaute2) (hAgo2) (EC 3.1.26.n2) (Argonaute RISC catalytic component 2) (Eukaryotic translation initiation factor 2C 2) (eIF-2C 2) (eIF2C 2) (PAZ Piwi domain protein) (PPD) (Protein slicer)
AGRN	LAMA5	Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment (C90); Agrin C-terminal 22 kDa fragment (C22)]	Laminin subunit alpha-5 (Laminin-10 subunit alpha) (Laminin-11 subunit alpha) (Laminin-15 subunit alpha)
AGRP	RFTN2	Agouti-related protein	Raftlin-2 (Raft-linking protein 2)
AGXT	MAT1A	Alanine--glyoxylate aminotransferase (AGT) (EC 2.6.1.44) (Serine--pyruvate aminotransferase) (SPT) (EC 2.6.1.51)	S-adenosylmethionine synthase isoform type-1 (AdoMet synthase 1) (EC 2.5.1.6) (Methionine adenosyltransferase 1) (MAT 1) (Methionine adenosyltransferase I/III) (MAT-I/III)
AHI1	MKS1	Jouberin (Abelson helper integration site 1 protein homolog) (AHI-1)	Tectonic-like complex member MKS1 (Meckel syndrome type 1 protein)
AHSP	HEMGN	Alpha-hemoglobin-stabilizing protein (Erythroid differentiation-related factor) (Erythroid-associated factor)	Hemogen (Erythroid differentiation-associated gene protein) (EDAG-1) (Hemopoietic gene protein) (Negative differentiation regulator protein)
AIMP2	EEF1E1	Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 (Multisynthase complex auxiliary component p38) (Protein JTV-1)	Eukaryotic translation elongation factor 1 epsilon-1 (Aminoacyl tRNA synthetase complex-interacting multifunctional protein 3) (Elongation factor p18) (Multisynthase complex auxiliary component p18)
AIP	AIP	AH receptor-interacting protein (AIP) (Aryl-hydrocarbon receptor-interacting protein) (HBV X-associated protein 2) (XAP-2) (Immunophilin homolog ARA9)	AH receptor-interacting protein (AIP) (Aryl-hydrocarbon receptor-interacting protein) (HBV X-associated protein 2) (XAP-2) (Immunophilin homolog ARA9)
AIPL1	MPP4	Aryl-hydrocarbon-interacting protein-like 1	MAGUK p55 subfamily member 4 (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 5 protein) (Discs large homolog 6)
AK3	AK3	GTP:AMP phosphotransferase AK3, mitochondrial (EC 2.7.4.10) (Adenylate kinase 3) (Adenylate kinase 3 alpha-like 1) (Adenylate kinase isozyme 3)	GTP:AMP phosphotransferase AK3, mitochondrial (EC 2.7.4.10) (Adenylate kinase 3) (Adenylate kinase 3 alpha-like 1) (Adenylate kinase isozyme 3)
AK6	AK6	Adenylate kinase isoenzyme 6 (AK6) (EC 2.7.4.3) (Adrenal gland protein AD-004) (Coilin-interacting nuclear ATPase protein) (hCINAP) (Dual activity adenylate kinase/ATPase) (AK/ATPase)	Adenylate kinase isoenzyme 6 (AK6) (EC 2.7.4.3) (Adrenal gland protein AD-004) (Coilin-interacting nuclear ATPase protein) (hCINAP) (Dual activity adenylate kinase/ATPase) (AK/ATPase)
AK9	CEP290	Adenylate kinase 9 (EC 2.7.4.4) (EC 2.7.4.6) (Adenylate kinase domain-containing protein 1) (Adenylate kinase domain-containing protein 2)	Centrosomal protein of 290 kDa (Cep290) (Bardet-Biedl syndrome 14 protein) (Cancer/testis antigen 87) (CT87) (Nephrocystin-6) (Tumor antigen se2-2)
AKAP3	EQTN	A-kinase anchor protein 3 (AKAP-3) (A-kinase anchor protein 110 kDa) (AKAP 110) (Cancer/testis antigen 82) (CT82) (Fibrous sheath protein of 95 kDa) (FSP95) (Fibrousheathin I) (Fibrousheathin-1) (Protein kinase A-anchoring protein 3) (PRKA3) (Sperm oocyte-binding protein)	Equatorin (Acrosome formation-associated factor)
AKAP6	MTUS2	A-kinase anchor protein 6 (AKAP-6) (A-kinase anchor protein 100 kDa) (AKAP 100) (Protein kinase A-anchoring protein 6) (PRKA6) (mAKAP)	Microtubule-associated tumor suppressor candidate 2 (Cardiac zipper protein) (Microtubule plus-end tracking protein TIP150) (Tracking protein of 150 kDa)
AKAP9	ZNF292	A-kinase anchor protein 9 (AKAP-9) (A-kinase anchor protein 350 kDa) (AKAP 350) (hgAKAP 350) (A-kinase anchor protein 450 kDa) (AKAP 450) (AKAP 120-like protein) (Centrosome- and Golgi-localized PKN-associated protein) (CG-NAP) (Protein hyperion) (Protein kinase A-anchoring protein 9) (PRKA9) (Protein yotiao)	Zinc finger protein 292
AKIP1	TRIM47	A-kinase-interacting protein 1 (Breast cancer-associated gene 3 protein) (PKA-interacting protein) (Proline-rich protein BCA3)	E3 ubiquitin-protein ligase TRIM47 (EC 2.3.2.27) (Gene overexpressed in astrocytoma protein) (RING finger protein 100) (Tripartite motif-containing protein 47)
AKIRIN2	MTMR14	Akirin-2	Phosphatidylinositol-3,5-bisphosphate 3-phosphatase MTMR14 (EC 3.1.3.95) (HCV NS5A-transactivated protein 4 splice variant A-binding protein 1) (NS5ATP4ABP1) (Myotubularin-related protein 14) (Phosphatidylinositol-3-phosphate phosphatase) (hJumpy)
AKNA	SYTL3	Microtubule organization protein AKNA (AT-hook-containing transcription factor)	Synaptotagmin-like protein 3 (Exophilin-6)
AKR1C1	AKR1C2	Aldo-keto reductase family 1 member C1 (EC 1.1.1.-) (EC 1.1.1.112) (EC 1.1.1.209) (EC 1.1.1.210) (EC 1.1.1.357) (EC 1.1.1.51) (EC 1.1.1.53) (EC 1.1.1.62) (EC 1.3.1.20) (20-alpha-hydroxysteroid dehydrogenase) (20-alpha-HSD) (EC 1.1.1.149) (Chlordecone reductase homolog HAKRC) (Dihydrodiol dehydrogenase 1) (DD1) (High-affinity hepatic bile acid-binding protein) (HBAB)	Aldo-keto reductase family 1 member C2 (EC 1.-.-.-) (EC 1.1.1.112) (EC 1.1.1.209) (EC 1.1.1.53) (EC 1.1.1.62) (EC 1.3.1.20) (3-alpha-HSD3) (Chlordecone reductase homolog HAKRD) (Dihydrodiol dehydrogenase 2) (DD-2) (DD2) (Dihydrodiol dehydrogenase/bile acid-binding protein) (DD/BABP) (Type III 3-alpha-hydroxysteroid dehydrogenase) (EC 1.1.1.357)
AKR1D1	PPM1N	Aldo-keto reductase family 1 member D1 (EC 1.3.1.3) (3-oxo-5-beta-steroid 4-dehydrogenase) (Delta(4)-3-ketosteroid 5-beta-reductase) (Delta(4)-3-oxosteroid 5-beta-reductase)	Probable protein phosphatase 1N (EC 3.1.3.16)
AKR7A2	COMT	Aflatoxin B1 aldehyde reductase member 2 (EC 1.1.1.n11) (AFB1 aldehyde reductase 1) (AFB1-AR 1) (Aldoketoreductase 7) (Succinic semialdehyde reductase) (SSA reductase)	Catechol O-methyltransferase (EC 2.1.1.6)
ALAD	UROD	Delta-aminolevulinic acid dehydratase (ALADH) (EC 4.2.1.24) (Porphobilinogen synthase)	Uroporphyrinogen decarboxylase (UPD) (URO-D) (EC 4.1.1.37)
ALB	ALB	Albumin	Albumin
ALCAM	TRPS1	CD166 antigen (Activated leukocyte cell adhesion molecule) (CD antigen CD166)	Zinc finger transcription factor Trps1 (Tricho-rhino-phalangeal syndrome type I protein) (Zinc finger protein GC79)
ALDH16A1	GPR137	Aldehyde dehydrogenase family 16 member A1	Integral membrane protein GPR137 (Transmembrane 7 superfamily member 1-like 1 protein)
ALDH1L2	FKBP14	Mitochondrial 10-formyltetrahydrofolate dehydrogenase (Mitochondrial 10-FTHFDH) (mtFDH) (EC 1.5.1.6) (Aldehyde dehydrogenase family 1 member L2)	Peptidyl-prolyl cis-trans isomerase FKBP14 (PPIase FKBP14) (EC 5.2.1.8) (22 kDa FK506-binding protein) (22 kDa FKBP) (FKBP-22) (FK506-binding protein 14) (FKBP-14) (Rotamase)
ALDOB	HPD	Fructose-bisphosphate aldolase B (EC 4.1.2.13) (Liver-type aldolase)	4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27) (4-hydroxyphenylpyruvic acid oxidase) (4HPPD) (HPD) (HPPDase)
ALG2	ALG2	Alpha-1,3/1,6-mannosyltransferase ALG2 (EC 2.4.1.132) (EC 2.4.1.257) (Asparagine-linked glycosylation protein 2 homolog) (GDP-Man:Man(1)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase) (GDP-Man:Man(1)GlcNAc(2)-PP-dolichol mannosyltransferase) (GDP-Man:Man(2)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase)	Alpha-1,3/1,6-mannosyltransferase ALG2 (EC 2.4.1.132) (EC 2.4.1.257) (Asparagine-linked glycosylation protein 2 homolog) (GDP-Man:Man(1)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase) (GDP-Man:Man(1)GlcNAc(2)-PP-dolichol mannosyltransferase) (GDP-Man:Man(2)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase)
ALOX12B	ALOXE3	Arachidonate 12-lipoxygenase, 12R-type (12R-LOX) (12R-lipoxygenase) (EC 1.13.11.-) (Epidermis-type lipoxygenase 12)	Hydroperoxide isomerase ALOXE3 (Epidermis-type lipoxygenase 3) (Epidermal LOX-3) (e-LOX-3) (eLOX-3) (Hydroperoxy dehydratase ALOXE3) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152) (Hydroperoxy icosatetraenoate isomerase) (EC 5.4.4.7)
AMDHD1	HAL	Probable imidazolonepropionase (EC 3.5.2.7) (Amidohydrolase domain-containing protein 1)	Histidine ammonia-lyase (Histidase) (EC 4.3.1.3)
AMN	CUBN	Protein amnionless [Cleaved into: Soluble protein amnionless]	Cubilin (460 kDa receptor) (Intestinal intrinsic factor receptor) (Intrinsic factor-cobalamin receptor) (Intrinsic factor-vitamin B12 receptor)
AMOTL1	LRP8	Angiomotin-like protein 1	Low-density lipoprotein receptor-related protein 8 (LRP-8) (Apolipoprotein E receptor 2)
AMPD2	RRP12	AMP deaminase 2 (EC 3.5.4.6) (AMP deaminase isoform L)	RRP12-like protein
ANAPC1	ANAPC2	Anaphase-promoting complex subunit 1 (APC1) (Cyclosome subunit 1) (Mitotic checkpoint regulator) (Testis-specific gene 24 protein)	Anaphase-promoting complex subunit 2 (APC2) (Cyclosome subunit 2)
ANAPC15	CHCHD5	Anaphase-promoting complex subunit 15 (APC15)	Coiled-coil-helix-coiled-coil-helix domain-containing protein 5
ANAPC5	ANAPC7	Anaphase-promoting complex subunit 5 (APC5) (Cyclosome subunit 5)	Anaphase-promoting complex subunit 7 (APC7) (Cyclosome subunit 7)
ANGPTL3	HPX	Angiopoietin-related protein 3 (Angiopoietin-5) (ANG-5) (Angiopoietin-like protein 3) [Cleaved into: ANGPTL3(17-221); ANGPTL3(17-224)]	Hemopexin (Beta-1B-glycoprotein)
ANHX	KRT38	Anomalous homeobox protein	Keratin, type I cuticular Ha8 (Hair keratin, type I Ha8) (Keratin-38) (K38)
ANKHD1	RBM4	Ankyrin repeat and KH domain-containing protein 1 (HIV-1 Vpr-binding ankyrin repeat protein) (Multiple ankyrin repeats single KH domain) (hMASK)	RNA-binding protein 4 (Lark homolog) (hLark) (RNA-binding motif protein 4) (RNA-binding motif protein 4a)
ANKRD11	ANKRD12	Ankyrin repeat domain-containing protein 11 (Ankyrin repeat-containing cofactor 1)	Ankyrin repeat domain-containing protein 12 (Ankyrin repeat-containing cofactor 2) (GAC-1 protein)
ANKRD13B	NOMO3	Ankyrin repeat domain-containing protein 13B	BOS complex subunit NOMO3 (Nodal modulator 3) (pM5 protein 3)
ANKRD2	MYBPC3	Ankyrin repeat domain-containing protein 2 (Skeletal muscle ankyrin repeat protein) (hArpp)	Myosin-binding protein C, cardiac-type (Cardiac MyBP-C) (C-protein, cardiac muscle isoform)
ANKRD45	LRRD1	Ankyrin repeat domain-containing protein 45	Leucine-rich repeat and death domain-containing protein 1
ANKRD66	STMND1	Ankyrin repeat domain-containing protein 66	Stathmin domain-containing protein 1
ANKRD9	SEMA7A	Ankyrin repeat domain-containing protein 9	Semaphorin-7A (CDw108) (JMH blood group antigen) (John-Milton-Hargen human blood group Ag) (Semaphorin-K1) (Sema K1) (Semaphorin-L) (Sema L) (CD antigen CD108)
