Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
CDS1		ENSG00000163624	"CDP-diacylglycerol synthase 1"	Q92903	4	84583127-84651334	"Enzymes, Metabolic proteins, Predicted membrane proteins"	"Lipid biosynthesis, Lipid metabolism, Phospholipid biosynthesis, Phospholipid metabolism"	"Nucleotidyltransferase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Ciliated cells: 186.0"	"Cell type enhanced"	"Detected in all"		"ependymal cell: 204.1"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Adrenal gland - Adrenal cortex cells, Lung - Alveolar cells type 2, Pancreas - Ductal cells, Spleen - Macrophages, Stomach - Gastric mucous cells, Testis - Sertoli cells, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA036187, HPA064546"	Enhanced						NA	NA				"Cluster 24: Parathyroid gland - Vesicular transport"	"Cluster 52: Neurons & Synapses - Synaptic function"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 42: Ciliated cells - Cilium assembly"	19			"HPA036187: AB_10601797, HPA064546: AB_2732714"	"unprognostic (4.48e-1)"	"unprognostic (3.78e-2)"	"unprognostic (2.15e-1)"	"unprognostic (3.60e-2)"	"potential prognostic favorable (5.11e-4)"	"unprognostic (6.63e-2)"	"unprognostic (2.68e-2)"	"unprognostic (4.13e-2)"	"unprognostic (3.09e-1)"	"unprognostic (7.12e-2)"	"validated prognostic favorable (2.39e-12)"	"validated prognostic favorable (9.62e-4)"	"unprognostic (4.10e-3)"	"unprognostic (4.06e-3)"	"unprognostic (5.09e-2)"	"unprognostic (3.55e-2)"	"unprognostic (1.91e-1)"	"unprognostic (4.29e-2)"	"unprognostic (3.28e-1)"	"unprognostic (4.12e-1)"	"unprognostic (2.17e-1)"	"unprognostic (3.06e-2)"	"unprognostic (1.50e-1)"	"unprognostic (9.18e-2)"	"unprognostic (2.58e-2)"	"unprognostic (9.66e-3)"	"unprognostic (7.94e-2)"	"unprognostic (1.35e-1)"	"unprognostic (1.56e-1)"	"unprognostic (3.02e-1)"	"unprognostic (1.11e-1)"
CEP170B	"Cep170R, FAM68C, KIAA0284"	ENSG00000099814	"Centrosomal protein 170B"	Q9Y4F5	14	104865268-104896747	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Cone photoreceptor cells: 209.0;Distal enterocytes: 62.3;Rod photoreceptor cells: 123.5"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"			"Testis - Sertoli cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA000871, HPA001773, HPA059017"	Enhanced		Approved	"Microtubule ends,Centrosome,Cytosol"			NA	NA				"Cluster 80: Non-specific - Endocytosis"	"Cluster 32: Cerebral cortex - Mixed function"	"Cluster 30: Non-specific - Gene expression regulation"	"Cluster 66: Photoreceptor cells - Visual perception"	18	"Microtubule ends"	"Centrosome, Cytosol"	"HPA000871: AB_2666124, HPA001773: , HPA059017: AB_2683883"	"unprognostic (1.65e-1)"	"unprognostic (1.69e-1)"		"potential prognostic unfavorable (5.80e-4)"	"unprognostic (7.59e-2)"	"unprognostic (4.96e-2)"	"unprognostic (7.27e-2)"	"unprognostic (1.03e-1)"	"unprognostic (3.14e-1)"	"unprognostic (2.03e-1)"	"unprognostic (2.26e-2)"	"unprognostic (3.89e-2)"	"unprognostic (8.82e-2)"	"potential prognostic unfavorable (2.86e-4)"		"unprognostic (2.56e-1)"	"unprognostic (2.85e-1)"	"unprognostic (1.61e-1)"	"unprognostic (2.95e-1)"	"unprognostic (1.06e-2)"	"unprognostic (1.81e-1)"	"unprognostic (1.56e-1)"	"unprognostic (7.38e-2)"	"unprognostic (1.01e-3)"	"unprognostic (2.54e-1)"	"unprognostic (1.23e-1)"	"unprognostic (1.40e-1)"	"unprognostic (1.08e-1)"	"unprognostic (1.64e-1)"	"unprognostic (5.48e-2)"	"unprognostic (1.98e-1)"
CES1	"CEH, CES1A1, CES1A2, CES2, HMSE, HMSE1, SES1"	ENSG00000198848	"Carboxylesterase 1"	P23141	16	55802851-55833337	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Lipid metabolism"	"Hydrolase, Serine esterase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	9	"liver: 2440.5"	"Group enriched"	"Detected in many"	4	"Cholangiocytes: 635.3;Hepatocytes: 1750.3"	"Cell type enhanced"	"Detected in single"		"fibroblast: 1.5"	"Group enriched"	"Detected in all"	8	"Liver Hepatocellular Carcinoma (TCGA): 1511.8;Lung Squamous Cell Carcinoma (TCGA): 489.3"	"Low region specificity"	"Detected in many"			"Group enriched"	"Detected in many"	16	"classical monocyte: 109.7;myeloid DC: 114.5"	"Group enriched"	"Detected in many"	22	"dendritic cells: 114.5;monocytes: 109.7"	"Cancer enhanced"	"Detected in many"		"Gallbladder cancer: 389.4;liver cancer: 290.7"	"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Liver - Hepatocytes, Skin - Fibroblast_2"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"HPA012023, HPA046717"	Enhanced		Supported	"Endoplasmic reticulum"	"Intracellular and membrane"	Enzyme	No	NA		35000000	"Cluster 2: Dendritic cells - Unknown function"	"Cluster 83: Liver - Metabolism"	"Cluster 8: Immune cells - Immune response"	"Cluster 7: Liver cancer - Metabolism"	"Cluster 43: Hepatocytes - Metabolism"		"Endoplasmic reticulum"		"HPA012023: AB_1846554, HPA046717: AB_2679770"	"unprognostic (8.95e-2)"	"unprognostic (2.78e-2)"	"unprognostic (1.30e-1)"	"unprognostic (1.47e-2)"	"unprognostic (1.97e-1)"	"unprognostic (5.51e-2)"	"unprognostic (4.36e-3)"	"unprognostic (1.42e-2)"	"unprognostic (2.84e-3)"	"unprognostic (6.10e-3)"	"unprognostic (1.21e-2)"	"unprognostic (1.94e-3)"	"unprognostic (4.40e-2)"	"unprognostic (7.56e-2)"	"unprognostic (5.12e-2)"	"unprognostic (2.29e-1)"	"unprognostic (4.06e-3)"	"unprognostic (2.79e-1)"	"unprognostic (1.51e-1)"	"unprognostic (3.17e-2)"	"unprognostic (1.84e-2)"	"unprognostic (2.32e-1)"	"unprognostic (1.66e-1)"	"unprognostic (1.66e-1)"	"unprognostic (2.05e-1)"	"unprognostic (7.43e-2)"	"unprognostic (8.09e-2)"	"unprognostic (7.62e-2)"	"unprognostic (1.74e-1)"	"unprognostic (1.20e-2)"	"unprognostic (1.81e-1)"
CES2	"CE-2, CES2A1, iCE"	ENSG00000172831	"Carboxylesterase 2"	O00748	16	66934444-66945096	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Lipid metabolism"	"Hydrolase, Serine esterase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"intestine: 683.3;liver: 335.1"	"Group enriched"	"Detected in all"	4	"Distal enterocytes: 862.9;Proximal enterocytes: 2605.1"	"Low cell type specificity"	"Detected in all"			"Cancer enhanced"	"Detected in all"		"Liver Hepatocellular Carcinoma (TCGA): 266.2"	"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Kidney - Proximal tubular cells, Liver - Hepatocytes, Testis - Spermatocytes, Thyroid gland - Thyroid glandular cells"	"Not detected"	"Not detected"							"HPA018897, HPA074629"	Enhanced		Approved	"Endoplasmic reticulum,Golgi apparatus,Cytosol"	"Intracellular and membrane"	Enzyme	NA	NA		5600000	"Cluster 33: Non-specific - ATP binding"	"Cluster 37: Liver & Intestine - Lipid metabolism"	"Cluster 42: Choroid plexus - Mitochondria"	"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 22: Proximal enterocytes - Digestion"	6	"Golgi apparatus"	"Endoplasmic reticulum, Cytosol"	"HPA018897: AB_1846558, HPA074629: "	"unprognostic (7.75e-2)"	"unprognostic (3.77e-2)"	"unprognostic (1.72e-1)"	"unprognostic (1.66e-1)"	"unprognostic (2.99e-1)"	"unprognostic (1.72e-2)"	"unprognostic (1.23e-1)"	"unprognostic (1.92e-1)"	"unprognostic (1.65e-1)"	"unprognostic (7.83e-3)"	"potential prognostic favorable (1.53e-7)"	"unprognostic (8.63e-3)"	"unprognostic (9.89e-3)"	"unprognostic (8.53e-2)"	"potential prognostic favorable (4.66e-5)"	"unprognostic (4.99e-2)"	"unprognostic (2.40e-2)"	"unprognostic (1.27e-2)"	"unprognostic (6.48e-2)"	"unprognostic (1.69e-1)"	"unprognostic (2.07e-2)"	"unprognostic (3.75e-3)"	"unprognostic (3.72e-2)"	"unprognostic (1.64e-1)"	"unprognostic (1.53e-1)"	"unprognostic (6.93e-2)"	"unprognostic (1.30e-1)"	"unprognostic (8.30e-2)"	"unprognostic (1.05e-1)"	"unprognostic (1.90e-2)"	"unprognostic (3.68e-3)"
CETN1	"CEN1, CETN"	ENSG00000177143	"Centrin 1"	Q12798	18	580380-582114	"Predicted intracellular proteins"	"Cell cycle, Cell division, Mitosis"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	1087	"testis: 130.6"	"Group enriched"	"Detected in some"	25	"Early spermatids: 1058.7;Late spermatids: 451.7;Spermatocytes: 555.9"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA028956, CAB037244, HPA069157"	Enhanced		Supported	"Nucleoplasm,Flagellar centriole,Mid piece,Principal piece"			NA	NA				"Cluster 10: Testis - Spermatid development"		"Cluster 5: Rhabdoid - Unknown function"	"Cluster 70: Spermatocytes & Spermatids - Spermatid development"	22	"Nucleoplasm, Flagellar centriole"	"Mid piece, Principal piece"	"CAB037244: AB_476871, HPA028956: AB_10601798, HPA069157: "																															
CETN3	CEN3	ENSG00000153140	"Centrin 3"	O15182	5	90392257-90409766	"Predicted intracellular proteins"	"Cell cycle, Cell division, Mitosis, mRNA transport, Protein transport, Translocation, Transport"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"testis: 126.5"	"Cell type enhanced"	"Detected in all"		"Spermatocytes: 383.7"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Early spermatids, Testis - Spermatocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA035608, HPA063704"	Enhanced		Supported	"Centrosome,Basal body"			NA	NA			"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 74: Spermatids - Flagellum assembly"	"Cluster 28: Oligodendrocytes - Mixed function"	"Cluster 22: Non-specific - mRNA splicing & Cell cycle"	"Cluster 31: Spermatocytes - Spermatogenesis"	38	Centrosome	"Basal body"	"HPA035608: AB_10601098, HPA063704: AB_2685097"	"unprognostic (1.04e-1)"	"unprognostic (1.16e-1)"	"unprognostic (5.32e-2)"	"unprognostic (5.33e-2)"	"unprognostic (6.12e-2)"	"unprognostic (4.20e-3)"	"unprognostic (1.78e-1)"	"unprognostic (1.18e-1)"	"unprognostic (1.98e-3)"	"potential prognostic unfavorable (9.89e-5)"	"potential prognostic favorable (3.07e-6)"	"unprognostic (1.72e-1)"	"unprognostic (2.75e-1)"	"unprognostic (1.15e-3)"	"potential prognostic unfavorable (5.41e-5)"	"unprognostic (2.58e-1)"	"unprognostic (3.49e-1)"	"unprognostic (9.80e-2)"	"unprognostic (2.49e-1)"	"unprognostic (1.36e-1)"	"unprognostic (4.01e-3)"	"unprognostic (2.63e-2)"	"unprognostic (1.37e-2)"	"unprognostic (6.01e-2)"	"unprognostic (9.42e-3)"	"unprognostic (1.03e-2)"	"unprognostic (9.04e-2)"	"unprognostic (2.77e-1)"	"unprognostic (1.72e-1)"	"unprognostic (3.02e-1)"	"unprognostic (1.18e-1)"
CFAP100	"CCDC37, FLJ40083, MIA1"	ENSG00000163885	"Cilia and flagella associated protein 100"	Q494V2	3	126394909-126436556	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"choroid plexus: 13.0;fallopian tube: 26.2;testis: 31.5"	"Group enriched"	"Detected in some"	6	"Early spermatids: 226.4;Late spermatids: 750.4"	"Cell type enriched"	"Detected in all"	4	"ependymal cell: 306.8"	"Cancer enhanced"	"Detected in some"		"Uterine Corpus Endometrial Carcinoma (TCGA): 4.7"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Lung - Respiratory ciliated cells, Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA046354	Enhanced		Approved	"Mid piece,Principal piece"			NA	NA				"Cluster 8: Ciliated cells - Cilium organization"	"Cluster 3: Choroid plexus - Cilium"	"Cluster 70: DU4475 - Unknown function"	"Cluster 63: Late spermatids - Spermatogenesis"		"Mid piece, Principal piece"		"HPA046354: AB_2679634"							"unprognostic (9.41e-2)"	"unprognostic (2.67e-2)"								"unprognostic (1.58e-2)"	"unprognostic (6.40e-2)"		"unprognostic (1.70e-1)"	"unprognostic (3.54e-1)"	"unprognostic (9.67e-3)"										"unprognostic (1.91e-1)"
CFAP126	"C1orf192, Flattop, Fltp"	ENSG00000188931	"Cilia and flagella associated protein 126"	Q5VTH2	1	161364733-161367876	"Predicted intracellular proteins"	"Cilium biogenesis/degradation"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"choroid plexus: 207.8;fallopian tube: 146.7"	"Group enriched"	"Detected in some"	5	"Ciliated cells: 298.1;Early spermatids: 152.1;Ionocytes: 78.4"	"Group enriched"	"Detected in some"	15	"choroid plexus epithelial cell: 22.4;ependymal cell: 64.5"	"Cancer enhanced"	"Detected in all"		"Uterine Corpus Endometrial Carcinoma (TCGA): 57.3"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA045904	Enhanced		Approved	"Vesicles,Plasma membrane,Primary cilium,Cytosol,Mid piece,Principal piece"			NA	NA				"Cluster 8: Ciliated cells - Cilium organization"	"Cluster 3: Choroid plexus - Cilium"	"Cluster 45: Non-specific - Nuclear processes"	"Cluster 42: Ciliated cells - Cilium assembly"		"Plasma membrane, Primary cilium, Mid piece"	"Vesicles, Cytosol, Principal piece"	"HPA045904: AB_10960411"	"unprognostic (1.47e-1)"	"unprognostic (1.43e-2)"		"unprognostic (8.82e-2)"	"unprognostic (2.53e-1)"	"unprognostic (1.95e-1)"	"unprognostic (1.90e-1)"	"unprognostic (1.07e-2)"	"unprognostic (2.76e-2)"	"potential prognostic unfavorable (1.71e-5)"	"potential prognostic favorable (2.17e-6)"	"unprognostic (1.56e-3)"	"unprognostic (1.61e-1)"	"unprognostic (2.04e-1)"		"unprognostic (1.21e-1)"	"unprognostic (1.52e-1)"	"unprognostic (1.13e-1)"	"unprognostic (3.84e-2)"	"unprognostic (2.09e-1)"	"unprognostic (1.37e-2)"	"unprognostic (2.98e-1)"	"potential prognostic unfavorable (1.68e-4)"	"unprognostic (5.43e-2)"	"unprognostic (6.45e-3)"	"unprognostic (3.02e-2)"	"unprognostic (8.17e-2)"	"unprognostic (1.75e-1)"	"unprognostic (2.20e-1)"	"potential prognostic unfavorable (3.89e-4)"	"unprognostic (4.44e-1)"
CFAP157	C9orf117	ENSG00000160401	"Cilia and flagella associated protein 157"	Q5JU67	9	127706988-127716002	"Predicted intracellular proteins"	"Differentiation, Spermatogenesis"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	4	"choroid plexus: 37.9;fallopian tube: 57.7"	"Cell type enhanced"	"Detected in some"		"Ciliated cells: 221.8;Early spermatids: 45.2;Late spermatids: 90.6"	"Cell type enriched"	"Detected in many"	5	"ependymal cell: 694.6"	"Cancer enhanced"	"Detected in many"		"Uterine Corpus Endometrial Carcinoma (TCGA): 6.7"	"Region enhanced"	"Detected in all"		"choroid plexus: 76.0"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Lung - Respiratory ciliated cells, Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in some"			"Low region specificity"	"Detected in all"			"HPA021474, HPA021786"	Enhanced		Uncertain	"Plasma membrane,Cytosol"			NA	NA				"Cluster 8: Ciliated cells - Cilium organization"	"Cluster 3: Choroid plexus - Cilium"	"Cluster 43: Non-specific - Basic cellular processes"	"Cluster 42: Ciliated cells - Cilium assembly"		"Plasma membrane, Cytosol"		"HPA021474: AB_1845801, HPA021786: AB_1845802"		"unprognostic (2.88e-1)"		"unprognostic (2.38e-1)"		"unprognostic (1.48e-1)"	"unprognostic (1.15e-1)"	"unprognostic (1.37e-1)"					"unprognostic (5.08e-3)"			"unprognostic (3.25e-2)"	"unprognostic (4.33e-1)"	"unprognostic (1.95e-1)"	"unprognostic (1.04e-1)"	"unprognostic (7.68e-2)"	"potential prognostic favorable (3.77e-4)"		"unprognostic (2.19e-2)"	"unprognostic (9.45e-3)"		"unprognostic (8.29e-2)"					"unprognostic (1.98e-1)"
CFAP161	"C15orf26, FLJ38615"	ENSG00000156206	"Cilia and flagella associated protein 161"	Q6P656	15	81007033-81149179	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	5	"choroid plexus: 20.9;fallopian tube: 15.3;testis: 6.2"	"Cell type enhanced"	"Detected in some"		"Ciliated cells: 29.0;Early spermatids: 23.8;Inhibitory neurons: 12.6;Ionocytes: 6.6;Spermatocytes: 12.9"	"Cell type enhanced"	"Detected in all"		"choroid plexus epithelial cell: 388.7"	"Cancer enhanced"	"Detected in some"		"Uterine Corpus Endometrial Carcinoma (TCGA): 3.2"	"Region enriched"	"Detected in all"	6	"choroid plexus: 80.5"	"Immune cell enhanced"	"Detected in single"		"neutrophil: 1.1"	"Low lineage specificity"	"Detected in single"			"Cancer enriched"	"Detected in single"	17	"Leukemia: 10.4"	"Lung - Respiratory ciliated cells, Testis - Early spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			HPA076975	Supported						NA	NA			"Cluster 4: Neutrophils - Degranulation"	"Cluster 8: Ciliated cells - Cilium organization"	"Cluster 23: Choroid plexus - Mixed function"	"Cluster 47: Leukemia - Hemostasis"	"Cluster 42: Ciliated cells - Cilium assembly"	12			"HPA076975: "						"unprognostic (1.17e-1)"	"unprognostic (1.23e-3)"	"unprognostic (6.07e-2)"											"unprognostic (6.68e-2)"	"unprognostic (2.51e-1)"						"unprognostic (3.06e-2)"					"unprognostic (1.29e-1)"
CFAP251	"CaM-IP4, MGC33630, WDR66"	ENSG00000158023	"Cilia and flagella associated protein 251"	Q8TBY9	12	121918592-122003927	"Disease related genes, Human disease related genes, Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"choroid plexus: 19.6;fallopian tube: 21.6;testis: 19.3"	"Cell type enhanced"	"Detected in many"		"Basal respiratory cells: 37.8;Ciliated cells: 111.2;Early spermatids: 45.7;Late spermatids: 52.2;Oocytes: 37.5;Spermatocytes: 33.0"	"Cell type enhanced"	"Detected in all"		"ependymal cell: 379.2"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	8	"plasmacytoid DC: 1.6"	"Lineage enriched"	"Detected in single"	8	"dendritic cells: 1.6"	"Cancer enhanced"	"Detected in many"		"cervical cancer: 19.0"	"Liver - Hepatic stellate cells, Lung - Respiratory ciliated cells, Skin - Outer root sheath cells, Testis - Early spermatids"	"Low region specificity"	"Detected in many"							"HPA039902, HPA040005"	Supported		Supported	"Mid piece,End piece"			NA	NA			"Cluster 8: Plasmacytoid DCs - Unknown function"	"Cluster 8: Ciliated cells - Cilium organization"	"Cluster 17: Choroid plexus - Cilium"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 42: Ciliated cells - Cilium assembly"		"Mid piece, End piece"		"HPA039902: AB_10795236, HPA040005: AB_10795160"	"potential prognostic unfavorable (2.38e-4)"	"unprognostic (2.49e-2)"		"unprognostic (3.75e-2)"		"unprognostic (8.01e-2)"	"unprognostic (2.16e-3)"	"unprognostic (9.73e-2)"	"unprognostic (4.15e-3)"		"unprognostic (1.16e-1)"	"unprognostic (2.66e-1)"	"unprognostic (2.12e-3)"			"unprognostic (2.23e-1)"	"potential prognostic unfavorable (3.19e-4)"	"unprognostic (2.87e-2)"	"unprognostic (1.79e-1)"	"unprognostic (3.00e-1)"	"unprognostic (2.18e-1)"	"unprognostic (1.84e-1)"	"potential prognostic unfavorable (7.43e-5)"		"unprognostic (1.48e-2)"	"potential prognostic favorable (9.85e-6)"		"unprognostic (1.52e-1)"	"unprognostic (1.78e-1)"	"unprognostic (1.83e-1)"	"unprognostic (2.53e-2)"
